Slide Title,Section Name,Section Level,Level,Supervisory Organization,Position Name,Position ID,Current HC,Future HC,FTE,Country,Stack,Status,DLT,DLT-1,DLT-2,DLT-3,DLT-4,DLT-5,DLT-6
Executive Office,Executive Office,DLT,DLT-1,Operations,Business Continuity Manager,P-OPS-1948,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Operations,Chief Operating Officer,P-OPS-4004,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Operations,Operations Excellence Lead,P-OPS-7578,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Research & Development,Chief Scientific Officer,P-RND-4314,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Research & Development,R&D Portfolio Analyst,P-RND-8282,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Research & Development,Scientific Program Manager,P-RND-1324,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,,,,,,
Commercial,Commercial,DLT-1,DLT-1,Commercial,Chief Commercial Officer,P-COM-0497,1,1,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-1,Commercial,Commercial Excellence Manager,P-COM-1052,1,1,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-1,Commercial,Pricing Manager,P-COM-7325,1,1,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Marketing,Brand Manager,P-COMMK-5591,2,2,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Marketing,Campaign Manager,P-COMMK-8760,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Marketing,Content Specialist,P-COMMK-2115,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Marketing,Digital Marketing Manager,P-COMMK-9686,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Marketing,Marketing Director,P-COMMK-6232,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Marketing,Marketing Automation Specialist,P-COMMK-1731,0,1,1.0,"CHE, POL, SGP",Future,Posted,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Sales EMEA,Account Manager,P-COMSE-2511,3,3,1.0,"CHE, DEU, POL",,In selection process,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Sales EMEA,Inside Sales Representative,P-COMSE-1418,1,1,1.0,"CHE, DEU, POL",,In selection process,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Sales EMEA,Inside Sales Representative,P-COMSE-1418,0,1,1.0,"CHE, DEU, POL",Future,Posted,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Sales EMEA,Key Account Manager,P-COMSE-1095,2,2,1.0,"CHE, DEU, POL",,Mapped,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Sales EMEA,Sales Director EMEA,P-COMSE-6295,1,1,1.0,"CHE, DEU, POL",,Mapped,Aurora Health Group,Commercial,,,,,
Commercial,Commercial,DLT-1,DLT-2,Sales EMEA,Sales Specialist,P-COMSE-0896,2,2,1.0,"CHE, DEU, POL",,Mapped,Aurora Health Group,Commercial,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-1,Digital Solutions Group,Business Partner,P-DSG-5654,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-1,Digital Solutions Group,Chief Digital Officer,P-DSG-4274,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-1,Digital Solutions Group,Digital Portfolio Lead,P-DSG-3253,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-1,Digital Solutions Group,Digital Transformation Manager,P-DSG-7586,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-1,Digital Solutions Group,PMO Analyst,P-DSG-9542,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Data & Analytics,Data Governance Lead,P-DSGA-7890,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Data & Analytics,Data Steward,P-DSGA-5964,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Data & Analytics,Head of Data & Analytics,P-DSGA-4894,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Data & Analytics,Master Data Analyst,P-DSGA-7039,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Data Engineering,Analytics Engineer,P-DSGAE-5612,1,1,1.0,"CHE, ESP, SGP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Data Engineering,Analytics Engineer,P-DSGAE-5612,0,1,1.0,"CHE, ESP, SGP",Future,Posted,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Data Engineering,Data Engineer,P-DSGAE-2594,2,2,1.0,"CHE, ESP, SGP",,In selection process,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Data Engineering,Data Engineering Manager,P-DSGAE-5922,1,1,1.0,"CHE, ESP, SGP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Data Engineering,Platform Data Engineer,P-DSGAE-7182,2,2,1.0,"CHE, ESP, SGP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Data Engineering,Senior Data Engineer,P-DSGAE-6832,2,2,1.0,"CHE, ESP, SGP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Data Engineering,Streaming Data Engineer,P-DSGAE-7563,0,3,1.0,"CHE, ESP, SGP",Future,Posted,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Data Engineering,Data Reliability Engineer,P-DSGAE-9241,0,2,1.0,"CHE, ESP, SGP",Future,Posted,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Analytics & Insights,Analytics Manager,P-DSGAI-7165,0,1,1.0,"CHE, DEU, IRL",Future,Posted,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Analytics & Insights,Business Intelligence Analyst,P-DSGAI-4658,2,2,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Analytics & Insights,Data Scientist,P-DSGAI-9081,2,2,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Analytics & Insights,Insights Manager,P-DSGAI-1994,1,1,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Analytics & Insights,Reporting Analyst,P-DSGAI-3278,2,2,1.0,"CHE, DEU, IRL",,In selection process,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Analytics & Insights,Machine Learning Engineer,P-DSGAI-2338,0,2,1.0,"CHE, DEU, IRL",Future,Posted,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Digital Product,Front-end Engineer,P-DSGD-2283,1,1,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Digital Product,Head of Digital Product,P-DSGD-0956,1,1,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Digital Product,Product Analyst,P-DSGD-7826,1,1,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Digital Product,Product Manager,P-DSGD-4391,1,1,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Digital Product,Product Manager,P-DSGD-4391,0,1,1.0,"CHE, DEU",Future,Posted,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Digital Product,UX Designer,P-DSGD-8241,2,2,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Digital Product,Design Systems Lead,P-DSGD-6649,0,1,1.0,"CHE, DEU",Future,Posted,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Digital Product,Product Analyst,P-DSGD-7826,0,2,1.0,"CHE, DEU",Future,Posted,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Platform Engineering,Enterprise Architect,P-DSGP-1599,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Platform Engineering,Head of Platform Engineering,P-DSGP-9946,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Platform Engineering,Platform Product Owner,P-DSGP-5513,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-2,Platform Engineering,Technical Program Manager,P-DSGP-1207,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Application Services,Application Engineer,P-DSGPA-3395,3,3,1.0,"CHE, IRL, POL",,In selection process,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Application Services,Application Services Manager,P-DSGPA-8042,1,1,1.0,"CHE, IRL, POL",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Application Services,Integration Engineer,P-DSGPA-6058,1,0,1.0,"CHE, IRL, POL",Current,At risk,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Application Services,Integration Engineer,P-DSGPA-6058,0,1,1.0,"CHE, IRL, POL",Future,Posted,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Application Services,SAP Specialist,P-DSGPA-1894,2,0,1.0,"CHE, IRL, POL",Current,At risk,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Application Services,Salesforce Administrator,P-DSGPA-0278,2,2,1.0,"CHE, IRL, POL",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Cloud Infrastructure,Cloud Engineer,P-DSGPC-9503,2,2,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Cloud Infrastructure,Cloud Infrastructure Manager,P-DSGPC-0197,1,1,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Cloud Infrastructure,DevOps Engineer,P-DSGPC-3848,1,1,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Cloud Infrastructure,Network Engineer,P-DSGPC-4439,1,0,1.0,"CHE, DEU",Current,At risk,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Cloud Infrastructure,Site Reliability Engineer,P-DSGPC-9361,2,2,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,,,,,
Digital Solutions Group,Digital Solutions Group,DLT-1,DLT-3,Cloud Infrastructure,Platform Security Engineer,P-DSGPC-5013,0,2,1.0,"CHE, DEU",Future,Posted,Aurora Health Group,Digital Solutions Group,,,,,
Finance,Finance,DLT-1,DLT-1,Finance,Chief Financial Officer,P-FIN-5270,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-1,Finance,Finance Business Partner,P-FIN-1869,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-1,Finance,Financial Planning Manager,P-FIN-6888,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-1,Finance,Investor Relations Manager,P-FIN-8431,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Controlling,Controller,P-FINC-6378,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Controlling,Controller,P-FINC-6378,0,1,1.0,"CHE, ESP",Future,Posted,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Controlling,Cost Accountant,P-FINC-2239,2,0,1.0,"CHE, ESP",Current,At risk,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Controlling,Financial Analyst,P-FINC-6332,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Controlling,Head of Controlling,P-FINC-9754,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Controlling,Reporting Accountant,P-FINC-8144,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Treasury & Tax,Cash Manager,P-FINT-3373,1,0,1.0,"CHE, DEU, ESP",Current,At risk,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Treasury & Tax,Compliance Accountant,P-FINT-2048,1,0,1.0,"CHE, DEU, ESP",Current,At risk,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Treasury & Tax,Head of Treasury & Tax,P-FINT-4925,1,0,1.0,"CHE, DEU, ESP",Current,At risk,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Treasury & Tax,Tax Specialist,P-FINT-1013,1,0,1.0,"CHE, DEU, ESP",Current,At risk,Aurora Health Group,Finance,,,,,
Finance,Finance,DLT-1,DLT-2,Treasury & Tax,Treasury Analyst,P-FINT-3778,1,0,1.0,"CHE, DEU, ESP",Current,At risk,Aurora Health Group,Finance,,,,,
Operations,Operations,DLT-1,DLT-1,Operations,Business Continuity Manager,P-OPS-1948,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-1,Operations,Chief Operating Officer,P-OPS-4004,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-1,Operations,Operations Excellence Lead,P-OPS-7578,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Quality & Compliance,Compliance Officer,P-OPSQC-1883,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Quality & Compliance,Head of Quality & Compliance,P-OPSQC-0940,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Quality & Compliance,QA Specialist,P-OPSQC-5692,2,2,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Quality & Compliance,Quality Engineer,P-OPSQC-1698,2,2,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Quality & Compliance,Validation Engineer,P-OPSQC-7397,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Quality & Compliance,Computer System Validation Engineer,P-OPSQC-5839,0,2,1.0,"CHE, ESP, POL",Future,Posted,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Supply Chain,Demand Planner,P-OPSSC-8800,2,2,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Supply Chain,Head of Supply Chain,P-OPSSC-1679,1,1,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Supply Chain,Logistics Coordinator,P-OPSSC-4197,1,0,1.0,"CHE, POL, SGP",Current,At risk,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Supply Chain,Logistics Coordinator,P-OPSSC-4197,0,1,1.0,"CHE, POL, SGP",Future,Posted,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Supply Chain,Procurement Specialist,P-OPSSC-8438,2,2,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Supply Chain,Supply Planner,P-OPSSC-5476,2,2,1.0,"CHE, POL, SGP",,Mapped,Aurora Health Group,Operations,,,,,
Operations,Operations,DLT-1,DLT-2,Supply Chain,Supply Chain Data Analyst,P-OPSSC-5474,0,2,1.0,"CHE, POL, SGP",Future,Posted,Aurora Health Group,Operations,,,,,
People & Culture,People & Culture,DLT-1,DLT-1,People & Culture,Chief People Officer,P-HR-8971,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-1,People & Culture,HR Business Partner,P-HR-9088,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-1,People & Culture,Organisational Design Lead,P-HR-8459,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-1,People & Culture,Reward Manager,P-HR-1049,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,HR Operations,HR Operations Specialist,P-HROP-3000,2,2,1.0,"CHE, IRL, SGP",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,HR Operations,HRIS Analyst,P-HROP-0261,1,1,1.0,"CHE, IRL, SGP",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,HR Operations,Head of HR Operations,P-HROP-1486,1,1,1.0,"CHE, IRL, SGP",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,HR Operations,Payroll Specialist,P-HROP-9700,1,0,1.0,"CHE, IRL, SGP",Current,At risk,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,HR Operations,Payroll Specialist,P-HROP-9700,0,1,1.0,"CHE, IRL, SGP",Future,Posted,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,HR Operations,People Data Analyst,P-HROP-1844,1,1,1.0,"CHE, IRL, SGP",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,HR Operations,People Analytics Engineer,P-HROP-0633,0,2,1.0,"CHE, IRL, SGP",Future,Posted,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,Talent Acquisition,Employer Brand Manager,P-HRTA-1305,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,Talent Acquisition,Head of Talent Acquisition,P-HRTA-2489,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,Talent Acquisition,Recruiter,P-HRTA-8091,2,2,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,Talent Acquisition,Sourcing Specialist,P-HRTA-0390,1,0,1.0,"CHE, DEU, ESP",Current,At risk,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,Talent Acquisition,Talent Partner,P-HRTA-5345,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,People & Culture,,,,,
People & Culture,People & Culture,DLT-1,DLT-2,Talent Acquisition,Talent Intelligence Analyst,P-HRTA-7393,0,1,1.0,"CHE, DEU, ESP",Future,Posted,Aurora Health Group,People & Culture,,,,,
Research & Development,Research & Development,DLT-1,DLT-1,Research & Development,Chief Scientific Officer,P-RND-4314,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-1,Research & Development,R&D Portfolio Analyst,P-RND-8282,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-1,Research & Development,Scientific Program Manager,P-RND-1324,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Clinical Development,Biostatistician,P-RNDCD-4573,2,2,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Clinical Development,Clinical Research Associate,P-RNDCD-5892,2,2,1.0,"CHE, DEU, IRL",,In selection process,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Clinical Development,Clinical Trial Manager,P-RNDCD-8380,2,2,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Clinical Development,Clinical Trial Manager,P-RNDCD-8380,0,1,1.0,"CHE, DEU, IRL",Future,Posted,Aurora Health Group,Research & Development,,,,,
